-3.5088-4.6236i
-3.5547-4.5783i
-3.5925-4.543i
-3.6277-4.4929i
-3.6732-4.429i
-3.7128-4.3752i
-3.7565-4.3183i
-3.7975-4.2632i
-3.8434-4.2106i
-3.8841-4.1632i
-3.9223-4.1099i
-3.9535-4.0605i
-3.9843-4.0053i
-4.0272-3.9562i
-4.0686-3.8992i
-4.1072-3.8514i
-4.1502-3.8112i
-4.1876-3.758i
-4.222-3.7098i
-4.2555-3.6659i
-4.2807-3.6066i
-4.2915-3.5514i
-4.3046-3.5053i
-4.3255-3.438i
-4.3415-3.3758i
-4.3515-3.3034i
-4.3612-3.2257i
-4.3829-3.1479i
-4.4048-3.0649i
-4.4168-3.0001i
-4.4418-2.9287i
-4.468-2.8432i
-4.4936-2.77i
-4.5141-2.7033i
-4.5248-2.6285i
-4.5398-2.5686i
-4.5632-2.5018i
-4.5879-2.4313i
-4.6205-2.3656i
-4.6354-2.2959i
-4.6507-2.231i
-4.6759-2.1652i
-4.6913-2.1016i
-4.692-2.0328i
-4.703-1.9688i
-4.7153-1.9192i
-4.7305-1.862i
-4.7413-1.7788i
-4.7475-1.6951i
-4.7637-1.6252i
-4.7682-1.5653i
-4.7774-1.5046i
-4.7892-1.4288i
-4.8051-1.3478i
-4.8082-1.2728i
-4.8223-1.2072i
-4.8488-1.1357i
-4.8698-1.0674i
-4.8942-0.99586i
-4.911-0.92185i
-4.9244-0.8496i
-4.9264-0.7636i
-4.9322-0.6835i
-4.9455-0.6186i
-4.9575-0.54638i
-4.974-0.47086i
-4.9886-0.39403i
-4.9885-0.31072i
-4.9891-0.21946i
-4.9932-0.13619i
-4.9913-0.059417i
-4.9924+0.016649i
-4.9891+0.10551i
-4.9908+0.19087i
-4.9934+0.28117i
-4.996+0.36981i
-4.9894+0.45792i
-4.9817+0.53875i
-4.9804+0.61943i
-4.9858+0.69538i
-4.982+0.76642i
-4.9769+0.84521i
-4.9685+0.91607i
-4.9667+0.98725i
-4.9607+1.0466i
-4.953+1.107i
-4.9455+1.1771i
