5.0075-1.4058i
4.9847-1.4798i
4.9525-1.5569i
4.9243-1.6446i
4.91-1.7273i
4.8972-1.8051i
4.8964-1.8679i
4.8899-1.939i
4.881-2.0105i
4.873-2.0797i
4.8525-2.1438i
4.827-2.2092i
4.811-2.2695i
4.796-2.3358i
4.7643-2.4015i
4.7267-2.4615i
4.6962-2.5137i
4.6552-2.5646i
4.6236-2.6224i
4.5939-2.6818i
4.5601-2.7421i
4.5271-2.8157i
4.4823-2.8933i
4.4405-2.9562i
4.403-3.0098i
4.3582-3.0622i
4.326-3.124i
4.2958-3.1945i
4.256-3.2546i
4.221-3.309i
4.1861-3.3572i
4.1668-3.4218i
4.1452-3.4914i
4.1194-3.5496i
4.0895-3.5996i
4.0558-3.6442i
4.0226-3.695i
3.9858-3.74i
3.9552-3.7825i
3.9252-3.829i
3.8847-3.8742i
3.8323-3.9287i
3.7845-3.9894i
3.7443-4.0351i
3.6976-4.0721i
3.6531-4.1219i
3.6053-4.1821i
3.5625-4.242i
3.5244-4.3023i
3.4796-4.3676i
3.4342-4.4382i
3.4016-4.491i
3.3664-4.5378i
3.3314-4.5901i
3.2926-4.6387i
3.2522-4.6883i
3.2044-4.7392i
3.1636-4.7851i
3.1237-4.8317i
3.071-4.8781i
3.0228-4.9221i
2.9597-4.9547i
2.8957-5.0004i
2.8455-5.0464i
2.7862-5.0878i
2.73-5.1268i
2.6657-5.1741i
2.6082-5.2292i
2.5487-5.2744i
2.4981-5.3251i
2.4471-5.3556i
2.3974-5.3902i
2.3514-5.4451i
2.2988-5.496i
2.2425-5.5347i
2.1837-5.5458i
2.1343-5.5729i
2.0883-5.6068i
2.0363-5.6338i
1.9703-5.6501i
1.9047-5.6709i
1.8513-5.6902i
1.79-5.7i
1.7256-5.7084i
1.667-5.7212i
1.6081-5.7389i
1.5383-5.7483i
1.4732-5.7575i
1.4089-5.7744i
1.3344-5.7978i
1.2615-5.8094i
1.1961-5.8187i
1.1388-5.8297i
1.071-5.8521i
1.0007-5.8645i
0.94266-5.8728i
0.8878-5.8775i
0.82984-5.8791i
0.77666-5.8881i
0.72887-5.8951i
0.67403-5.9041i
0.61232-5.9057i
0.54794-5.8995i
0.4883-5.8748i
0.42013-5.8516i
0.35396-5.8502i
0.28213-5.8569i
0.20432-5.8665i
0.12975-5.8537i
0.063699-5.8345i
-0.0095878-5.8179i
-0.080429-5.8357i
-0.15021-5.851i
-0.22117-5.858i
-0.28741-5.8553i
-0.34791-5.8422i
-0.4084-5.8438i
-0.46033-5.8489i
-0.51195-5.8544i
-0.57464-5.8575i
-0.62914-5.8419i
-0.68205-5.8257i
-0.74025-5.8204i
-0.79651-5.8129i
-0.85577-5.8021i
-0.91683-5.7851i
-0.98328-5.7688i
-1.0405-5.7583i
-1.0943-5.7389i
-1.1536-5.7301i
-1.2201-5.7202i
-1.2824-5.7018i
-1.3549-5.6868i
-1.4343-5.6686i
-1.5097-5.6595i
-1.5758-5.6429i
-1.6307-5.6349i
-1.6998-5.6307i
-1.7601-5.6362i
-1.8158-5.6311i
-1.8708-5.6188i
-1.9269-5.6045i
-1.9837-5.5923i
-2.0441-5.5727i
-2.1047-5.5482i
-2.1738-5.5265i
-2.2413-5.5037i
-2.3097-5.4864i
-2.3816-5.4624i
-2.4454-5.4472i
-2.5022-5.4221i
-2.5687-5.3971i
-2.6418-5.3738i
-2.7116-5.3339i
-2.7789-5.305i
-2.839-5.2797i
-2.9019-5.2472i
-2.9707-5.2182i
-3.0232-5.186i
-3.0673-5.1518i
-3.1192-5.1138i
-3.1827-5.0849i
-3.2306-5.0425i
-3.2866-5.0036i
-3.3203-4.966i
-3.3584-4.9361i
-3.398-4.8914i
-3.4362-4.8315i
-3.4801-4.766i
-3.517-4.7074i
-3.5613-4.6519i
-3.6192-4.5963i
-3.671-4.5373i
-3.7153-4.488i
-3.7542-4.4284i
-3.7984-4.3651i
-3.8436-4.3031i
-3.8928-4.2527i
-3.9409-4.2002i
-3.9762-4.136i
-4.015-4.0876i
-4.0479-4.0354i
-4.0802-3.9891i
-4.1114-3.941i
-4.1412-3.8921i
-4.1642-3.8306i
-4.1829-3.7669i
-4.2049-3.7114i
-4.2343-3.6531i
-4.2578-3.5874i
-4.2796-3.5184i
-4.306-3.4449i
-4.3339-3.3852i
-4.3591-3.3143i
-4.3816-3.246i
-4.41-3.1832i
-4.4446-3.1094i
-4.4683-3.0312i
-4.4928-2.9683i
-4.5222-2.9063i
-4.5441-2.839i
-4.5768-2.7781i
-4.5994-2.7151i
-4.6315-2.6565i
-4.6587-2.5904i
-4.6732-2.514i
-4.6848-2.4411i
-4.7029-2.3705i
-4.7155-2.2965i
-4.7345-2.2271i
-4.7448-2.1583i
-4.7496-2.0815i
-4.7722-2.0161i
-4.796-1.9394i
-4.801-1.8555i
-4.8011-1.7818i
