-2.6273+4.9842i
-2.5611+5.038i
-2.5004+5.0921i
-2.4503+5.1381i
-2.4034+5.1854i
-2.3639+5.2412i
-2.3268+5.285i
-2.2811+5.3233i
-2.2301+5.3608i
-2.1693+5.3884i
-2.1084+5.4146i
-2.0578+5.4411i
-2.0095+5.4704i
-1.9526+5.4914i
-1.8955+5.5073i
-1.8335+5.5176i
-1.7768+5.5309i
-1.712+5.5552i
-1.6521+5.5806i
-1.5872+5.6067i
-1.5227+5.6286i
-1.4637+5.642i
-1.4064+5.6626i
-1.349+5.6851i
-1.2884+5.7162i
-1.2346+5.7407i
-1.18+5.7505i
-1.1187+5.7709i
-1.0532+5.7838i
-0.98848+5.7928i
-0.93282+5.807i
-0.88392+5.8275i
-0.8367+5.8271i
-0.7786+5.821i
-0.71417+5.8142i
-0.64505+5.8136i
-0.58221+5.8137i
-0.52802+5.7944i
-0.44985+5.7869i
-0.38246+5.797i
-0.32263+5.8121i
-0.2583+5.8032i
-0.19213+5.8034i
-0.12663+5.8177i
-0.068111+5.8246i
-0.004399+5.8265i
0.05993+5.8288i
0.12254+5.8277i
0.18204+5.8263i
0.23352+5.8229i
0.29876+5.8277i
0.35677+5.8266i
0.41829+5.8204i
0.47156+5.8169i
0.51847+5.8049i
0.57817+5.797i
0.63067+5.8002i
0.67317+5.7863i
0.71436+5.7585i
0.77982+5.739i
0.84936+5.7242i
0.91371+5.7112i
0.97442+5.6885i
1.0341+5.678i
1.0978+5.6783i
1.1607+5.6659i
1.2235+5.6589i
1.2792+5.6595i
1.3319+5.6626i
1.3965+5.6606i
1.451+5.6602i
1.5035+5.6567i
1.5628+5.6525i
1.6149+5.6364i
1.6728+5.6123i
1.7155+5.591i
1.7725+5.5854i
1.8401+5.5686i
1.9127+5.5536i
1.9825+5.5347i
2.0394+5.4983i
2.0981+5.4724i
2.1665+5.445i
2.2424+5.4219i
2.3173+5.4027i
2.3885+5.3754i
2.4594+5.3485i
2.5362+5.3235i
2.6105+5.3027i
2.6821+5.2904i
2.7407+5.2718i
2.7943+5.2496i
2.8441+5.2264i
2.9059+5.2083i
2.9549+5.1885i
3.0036+5.1629i
3.0523+5.1192i
3.0983+5.0653i
3.142+5.0177i
3.1846+4.9742i
3.23+4.9302i
3.2816+4.8734i
3.3323+4.8155i
3.3772+4.7691i
3.4228+4.7191i
3.4705+4.6517i
3.5261+4.5996i
3.5808+4.5521i
3.6321+4.5049i
3.6792+4.4667i
3.7295+4.4365i
3.7715+4.3899i
3.8029+4.3449i
3.8386+4.3025i
3.8699+4.2447i
3.8933+4.1929i
3.9233+4.1454i
3.9599+4.0905i
3.9879+4.0309i
4.0093+3.9723i
4.0321+3.9163i
4.0561+3.8648i
4.0813+3.8167i
4.1036+3.7435i
4.1299+3.6605i
4.1657+3.5855i
4.2135+3.527i
4.2498+3.4564i
4.2664+3.3809i
4.2856+3.321i
4.3185+3.2703i
4.3596+3.2154i
4.3976+3.151i
4.4218+3.092i
4.4409+3.0319i
4.4618+2.9758i
4.4747+2.9237i
4.4933+2.8644i
4.5116+2.8028i
4.5273+2.7398i
4.541+2.676i
4.5494+2.6016i
4.5586+2.5285i
4.5717+2.4604i
4.5807+2.383i
4.5978+2.3047i
4.6117+2.2271i
4.6346+2.1473i
4.6547+2.0662i
4.673+1.9808i
4.6914+1.9036i
4.7063+1.8268i
4.7246+1.7449i
4.733+1.673i
4.7575+1.5979i
4.7749+1.5256i
4.7891+1.459i
4.8061+1.3882i
4.8204+1.3198i
4.8295+1.2535i
4.8468+1.1914i
4.8636+1.1161i
4.8603+1.0378i
4.852+0.9562i
4.8634+0.87777i
4.8785+0.80842i
4.8873+0.72879i
4.8953+0.6478i
4.9047+0.56455i
4.9128+0.47133i
4.9193+0.3902i
4.9274+0.30529i
4.945+0.21491i
4.9639+0.12831i
4.9767+0.034886i
4.9855-0.046031i
4.9943-0.12928i
4.9979-0.21384i
5.0002-0.2895i
4.9993-0.35789i
5.0003-0.4202i
4.9964-0.48443i
4.9961-0.56105i
4.9988-0.62389i
4.988-0.68183i
4.9639-0.75394i
4.9346-0.83061i
4.912-0.90047i
4.8966-0.97802i
4.8861-1.0635i
4.8761-1.1556i
4.8603-1.232i
4.8523-1.3002i
4.853-1.3772i
4.8384-1.4578i
4.8331-1.5432i
4.8248-1.6278i
4.8132-1.7075i
4.7958-1.7728i
4.7841-1.8397i
4.768-1.8973i
4.7408-1.9495i
4.7173-2.0048i
4.7042-2.0704i
4.6815-2.1354i
4.6516-2.1969i
4.6252-2.251i
4.5915-2.3069i
4.5546-2.3704i
4.5167-2.4362i
4.4842-2.5003i
4.4555-2.5662i
