2.6522+8.8834i
2.7446+8.8192i
2.8355+8.7588i
2.9223+8.693i
3.0199+8.6504i
3.1309+8.6102i
3.2386+8.5636i
3.3333+8.5137i
3.4273+8.4564i
3.5247+8.3924i
3.6339+8.3349i
3.7315+8.2612i
3.8173+8.1925i
3.9095+8.1316i
3.9973+8.0776i
4.0832+8.0201i
4.1595+7.9477i
4.239+7.8798i
4.3139+7.8066i
4.3876+7.7431i
4.463+7.6734i
4.5424+7.6057i
4.6282+7.5357i
4.7072+7.4614i
4.7834+7.3871i
4.8638+7.3259i
4.9298+7.2468i
4.9961+7.1632i
5.0764+7.085i
5.1653+7.0013i
5.2577+6.9303i
5.3525+6.8605i
5.4283+6.7831i
5.5019+6.7092i
5.5928+6.6433i
5.672+6.5676i
5.7351+6.4931i
5.7903+6.4337i
5.8584+6.3687i
5.9294+6.2814i
5.9919+6.198i
6.0585+6.1314i
6.116+6.0399i
6.1769+5.9577i
6.2456+5.8849i
6.3043+5.7959i
6.3602+5.7101i
6.4264+5.6293i
6.4831+5.5405i
6.5346+5.4442i
6.589+5.3471i
6.6459+5.2481i
6.7113+5.1532i
6.7808+5.0649i
6.8412+4.9661i
6.9127+4.8772i
6.9695+4.7798i
7.0232+4.6963i
7.0837+4.612i
7.1419+4.5122i
7.2082+4.4259i
7.2574+4.3429i
7.2982+4.2566i
7.3429+4.1684i
7.3768+4.0725i
7.4229+3.9801i
7.4711+3.8796i
7.5099+3.7813i
7.5421+3.6823i
7.5765+3.5937i
7.614+3.4961i
7.6567+3.3924i
7.6963+3.2956i
7.7373+3.1962i
7.7855+3.0905i
7.848+2.9826i
7.8938+2.8806i
7.9312+2.7738i
7.9601+2.6705i
7.9953+2.5713i
8.0136+2.4545i
8.0199+2.346i
8.0445+2.2397i
8.0618+2.1351i
8.0906+2.0301i
8.1179+1.9136i
8.136+1.8012i
8.1536+1.7019i
8.1638+1.5928i
8.18+1.4818i
8.1935+1.372i
8.195+1.2597i
8.1929+1.1421i
8.1911+1.0297i
8.1908+0.91393i
8.1936+0.79229i
8.2087+0.66889i
8.2137+0.53961i
8.2094+0.41533i
8.2061+0.29392i
8.2059+0.18024i
8.2105+0.056532i
8.2059-0.058404i
8.1975-0.1733i
8.1844-0.29159i
8.1809-0.41176i
8.1713-0.51882i
8.1525-0.6234i
8.1236-0.73521i
8.0996-0.83927i
8.0822-0.94187i
8.0604-1.045i
8.0276-1.1606i
8.0013-1.2811i
7.9714-1.3955i
7.9335-1.5058i
7.9037-1.6063i
7.8909-1.7223i
7.8777-1.8436i
7.8557-1.9594i
7.8196-2.081i
7.7893-2.1921i
7.7666-2.2917i
7.7455-2.3817i
7.7174-2.4809i
7.6883-2.5856i
7.6698-2.7004i
7.6367-2.8138i
7.6064-2.9252i
7.5882-3.0339i
7.5571-3.1343i
7.5141-3.222i
7.4787-3.3171i
7.442-3.4187i
7.4013-3.541i
7.3704-3.6556i
7.3249-3.7562i
7.2731-3.8607i
7.2438-3.971i
7.2102-4.0801i
7.1585-4.1853i
7.1109-4.3003i
7.074-4.4104i
7.0287-4.5194i
6.986-4.6225i
6.9419-4.7453i
6.8979-4.8696i
6.8427-4.993i
6.789-5.0924i
6.7416-5.1853i
6.6898-5.2943i
6.6446-5.3947i
6.6083-5.4909i
6.5692-5.5774i
6.5213-5.6618i
6.4632-5.756i
6.3956-5.8385i
6.3302-5.9183i
6.2609-6.0104i
6.1953-6.1i
6.1336-6.1998i
6.072-6.3005i
6.0122-6.3958i
5.9397-6.4741i
5.8531-6.5475i
5.7633-6.6331i
5.6914-6.7188i
5.6145-6.7895i
5.536-6.8609i
5.4782-6.9426i
5.4168-7.0224i
5.3436-7.1017i
5.2697-7.1742i
5.1993-7.2511i
5.1118-7.3257i
5.0218-7.393i
4.9508-7.4517i
4.8746-7.5171i
4.7941-7.5811i
4.7115-7.6446i
4.612-7.7008i
4.5221-7.7622i
4.4322-7.8183i
4.3397-7.8934i
4.2446-7.9657i
4.1433-8.0352i
4.0438-8.1075i
3.9428-8.1661i
3.8557-8.2142i
3.7838-8.2693i
3.7021-8.3389i
3.6093-8.3889i
3.5226-8.4284i
3.4468-8.484i
3.3493-8.5304i
3.254-8.5804i
3.1704-8.6227i
3.081-8.65i
2.9913-8.674i
2.8979-8.703i
2.8003-8.7425i
2.7116-8.7803i
2.6168-8.8004i
2.5164-8.8121i
2.4224-8.8201i
2.3287-8.8598i
2.231-8.9029i
2.1308-8.937i
2.0268-8.9598i
1.9231-8.9649i
1.8306-8.979i
1.7358-8.9854i
1.6325-9.0026i
1.5257-9.0283i
1.4247-9.0547i
1.3356-9.0806i
1.2524-9.0947i
1.1652-9.0968i
1.0877-9.1178i
0.98557-9.1332i
0.88517-9.1511i
0.80164-9.1582i
0.70517-9.1553i
0.60398-9.1591i
0.50064-9.1704i
0.39952-9.1896i
0.30002-9.2008i
0.20163-9.2203i
0.09438-9.2343i
-0.0094307-9.2577i
-0.11226-9.2715i
-0.22941-9.2653i
-0.34697-9.2712i
